ST 1(x),ST 2(y),Rank,Overlap,Overlap/ST 1,ST 1 RCs,ST 2 RCs
Times,SocialSystems,none,0,0.0%,560,5524
Times,Society,none,0,0.0%,560,4486
Times,Artifacts,none,0,0.0%,560,30947
Times,FoodDrink,none,0,0.0%,560,2175
Times,Facilities,none,0,0.0%,560,2063
Times,Products,none,0,0.0%,560,25534
Times,PrimarySectorProduct,none,0,0.0%,560,3383
Times,SecondarySectorProduct,none,0,0.0%,560,19662
Times,TertiarySectorService,none,0,0.0%,560,3258
Times,Drugs,none,0,0.0%,560,1701
TimeTypes,Times,1.1,---,---,8142,560
TimeTypes,TimeTypes,0,---,---,8142,8142
TimeTypes,EventTypes,1.1,---,---,8142,7679
TimeTypes,Chemistry,20,124,1.5%,8142,881
TimeTypes,NaturalMatter,20,129,1.6%,8142,2675
TimeTypes,AtomsElements,26,5,0.1%,8142,508
TimeTypes,NaturalSubstances,none,0,0.0%,8142,1796
TimeTypes,ActionTypes,5,5657,69.5%,8142,9514
TimeTypes,SituationTypes,14,1003,12.3%,8142,7049
TimeTypes,LocationPlace,none,0,0.0%,8142,4396
TimeTypes,AreaRegion,none,0,0.0%,8142,2079
TimeTypes,Places,none,0,0.0%,8142,8063
TimeTypes,SpaceTypes,12,2029,24.9%,8142,33756
TimeTypes,Forms,19,180,2.2%,8142,9159
TimeTypes,Shapes,19,219,2.7%,8142,14707
TimeTypes,NaturalPhenomena,14,864,10.6%,8142,959
TimeTypes,Information,13,1610,19.8%,8142,6050
TimeTypes,VisualInfo,17,360,4.4%,8142,1085
TimeTypes,AVInfo,15,752,9.2%,8142,1526
TimeTypes,WrittenInfo,16,504,6.2%,8142,1909
TimeTypes,StructuredInfo,16,533,6.5%,8142,2108
TimeTypes,AudioInfo,17,399,4.9%,8142,453
TimeTypes,OrganicChemistry,18,293,3.6%,8142,929
TimeTypes,LivingThings,21,87,1.1%,8142,11013
TimeTypes,Eukaryotes,none,0,0.0%,8142,9593
TimeTypes,Plants,none,0,0.0%,8142,2303
TimeTypes,Animals,none,0,0.0%,8142,7087
TimeTypes,OrganicMatter,17,357,4.4%,8142,21374
TimeTypes,Persons,none,0,0.0%,8142,3641
TimeTypes,Agents,none,0,0.0%,8142,8662
TimeTypes,Diseases,22,74,0.9%,8142,922
TimeTypes,Organizations,none,0,0.0%,8142,4848
TimeTypes,ProtistsFungus,none,0,0.0%,8142,187
TimeTypes,BiologicalProcesses,1.1,---,---,8142,295
TimeTypes,Geopolitical,none,0,0.0%,8142,2049
TimeTypes,Prokaryotes,none,0,0.0%,8142,273
TimeTypes,TopicsCategories,19,176,2.2%,8142,1456
TimeTypes,EconomicSystems,14,955,11.7%,8142,1159
TimeTypes,EmergentKnowledge,21,109,1.3%,8142,179
TimeTypes,InquiryMethods,1.1,---,---,8142,652
TimeTypes,LearningProcesses,1.1,---,---,8142,1799
TimeTypes,SocialSystems,13,1599,19.6%,8142,5524
TimeTypes,Society,15,788,9.7%,8142,4486
TimeTypes,Artifacts,9,2908,35.7%,8142,30947
TimeTypes,FoodDrink,none,0,0.0%,8142,2175
TimeTypes,Facilities,none,0,0.0%,8142,2063
TimeTypes,Products,13,1412,17.3%,8142,25534
TimeTypes,PrimarySectorProduct,none,0,0.0%,8142,3383
TimeTypes,SecondarySectorProduct,17,453,5.6%,8142,19662
TimeTypes,TertiarySectorService,14,1066,13.1%,8142,3258
TimeTypes,Drugs,none,0,0.0%,8142,1701
EventTypes,Times,20,139,1.8%,7679,560
EventTypes,TimeTypes,1.1,---,---,7679,8142
EventTypes,EventTypes,0,---,---,7679,7679
EventTypes,Chemistry,20,124,1.6%,7679,881
EventTypes,NaturalMatter,20,129,1.7%,7679,2675
EventTypes,AtomsElements,26,5,0.1%,7679,508
EventTypes,NaturalSubstances,none,0,0.0%,7679,1796
EventTypes,ActionTypes,4,5462,71.1%,7679,9514
EventTypes,SituationTypes,14,1003,13.1%,7679,7049
EventTypes,LocationPlace,none,0,0.0%,7679,4396
EventTypes,AreaRegion,none,0,0.0%,7679,2079
EventTypes,Places,none,0,0.0%,7679,8063
EventTypes,SpaceTypes,11,2013,26.2%,7679,33756
EventTypes,Forms,19,164,2.1%,7679,9159
EventTypes,Shapes,19,203,2.6%,7679,14707
EventTypes,NaturalPhenomena,14,864,11.3%,7679,959
EventTypes,Information,12,1610,21.0%,7679,6050
EventTypes,VisualInfo,17,360,4.7%,7679,1085
EventTypes,AVInfo,15,752,9.8%,7679,1526
EventTypes,WrittenInfo,16,504,6.6%,7679,1909
EventTypes,StructuredInfo,16,533,6.9%,7679,2108
EventTypes,AudioInfo,17,399,5.2%,7679,453
EventTypes,OrganicChemistry,18,293,3.8%,7679,929
EventTypes,LivingThings,21,87,1.1%,7679,11013
EventTypes,Eukaryotes,none,0,0.0%,7679,9593
EventTypes,Plants,none,0,0.0%,7679,2303
EventTypes,Animals,none,0,0.0%,7679,7087
EventTypes,OrganicMatter,17,357,4.6%,7679,21374
EventTypes,Persons,none,0,0.0%,7679,3641
EventTypes,Agents,none,0,0.0%,7679,8662
EventTypes,Diseases,21,74,1.0%,7679,922
EventTypes,Organizations,none,0,0.0%,7679,4848
EventTypes,ProtistsFungus,none,0,0.0%,7679,187
EventTypes,BiologicalProcesses,1.1,---,---,7679,295
EventTypes,Geopolitical,none,0,0.0%,7679,2049
EventTypes,Prokaryotes,none,0,0.0%,7679,273
EventTypes,TopicsCategories,19,176,2.3%,7679,1456
EventTypes,EconomicSystems,14,955,12.4%,7679,1159
EventTypes,EmergentKnowledge,21,109,1.4%,7679,179
EventTypes,InquiryMethods,1.1,---,---,7679,652
EventTypes,LearningProcesses,1.1,---,---,7679,1799
EventTypes,SocialSystems,12,1599,20.8%,7679,5524
EventTypes,Society,14,788,10.3%,7679,4486
EventTypes,Artifacts,9,2892,37.7%,7679,30947
EventTypes,FoodDrink,none,0,0.0%,7679,2175
EventTypes,Facilities,none,0,0.0%,7679,2063
EventTypes,Products,13,1396,18.2%,7679,25534
EventTypes,PrimarySectorProduct,none,0,0.0%,7679,3383
EventTypes,SecondarySectorProduct,17,437,5.7%,7679,19662
EventTypes,TertiarySectorService,14,1064,13.9%,7679,3258
EventTypes,Drugs,none,0,0.0%,7679,1701
Chemistry,Times,none,0,0.0%,881,560
Chemistry,TimeTypes,14,124,14.1%,881,8142
Chemistry,EventTypes,14,124,14.1%,881,7679
Chemistry,Chemistry,0,---,---,881,881
Chemistry,NaturalMatter,1.1,---,---,881,2675
Chemistry,AtomsElements,12,215,24.4%,881,508
Chemistry,NaturalSubstances,13,169,19.2%,881,1796
Chemistry,ActionTypes,15,78,8.9%,881,9514
Chemistry,SituationTypes,19,19,2.2%,881,7049
Chemistry,LocationPlace,none,0,0.0%,881,4396
Chemistry,AreaRegion,none,0,0.0%,881,2079
Chemistry,Places,none,0,0.0%,881,8063
Chemistry,SpaceTypes,12,187,21.2%,881,33756
Chemistry,Forms,18,29,3.3%,881,9159
Chemistry,Shapes,13,144,16.3%,881,14707
Chemistry,NaturalPhenomena,18,28,3.2%,881,959
Chemistry,Information,none,0,0.0%,881,6050
Chemistry,VisualInfo,none,0,0.0%,881,1085
Chemistry,AVInfo,none,0,0.0%,881,1526
Chemistry,WrittenInfo,none,0,0.0%,881,1909
Chemistry,StructuredInfo,none,0,0.0%,881,2108
Chemistry,AudioInfo,none,0,0.0%,881,453
Chemistry,OrganicChemistry,17,47,5.3%,881,929
Chemistry,LivingThings,none,0,0.0%,881,11013
Chemistry,Eukaryotes,none,0,0.0%,881,9593
Chemistry,Plants,none,0,0.0%,881,2303
Chemistry,Animals,none,0,0.0%,881,7087
Chemistry,OrganicMatter,12,181,20.5%,881,21374
Chemistry,Persons,none,0,0.0%,881,3641
Chemistry,Agents,none,0,0.0%,881,8662
Chemistry,Diseases,none,0,0.0%,881,922
Chemistry,Organizations,none,0,0.0%,881,4848
Chemistry,ProtistsFungus,none,0,0.0%,881,187
Chemistry,BiologicalProcesses,18,31,3.5%,881,295
Chemistry,Geopolitical,none,0,0.0%,881,2049
Chemistry,Prokaryotes,none,0,0.0%,881,273
Chemistry,TopicsCategories,12,177,20.1%,881,1456
Chemistry,EconomicSystems,none,0,0.0%,881,1159
Chemistry,EmergentKnowledge,none,0,0.0%,881,179
Chemistry,InquiryMethods,none,0,0.0%,881,652
Chemistry,LearningProcesses,none,0,0.0%,881,1799
Chemistry,SocialSystems,none,0,0.0%,881,5524
Chemistry,Society,none,0,0.0%,881,4486
Chemistry,Artifacts,5,583,66.2%,881,30947
Chemistry,FoodDrink,23,4,0.5%,881,2175
Chemistry,Facilities,none,0,0.0%,881,2063
Chemistry,Products,5,582,66.1%,881,25534
Chemistry,PrimarySectorProduct,6,510,57.9%,881,3383
Chemistry,SecondarySectorProduct,8,353,40.1%,881,19662
Chemistry,TertiarySectorService,none,0,0.0%,881,3258
Chemistry,Drugs,12,219,24.9%,881,1701
NaturalMatter,Times,none,0,0.0%,2675,560
NaturalMatter,TimeTypes,17,129,4.8%,2675,8142
NaturalMatter,EventTypes,17,129,4.8%,2675,7679
NaturalMatter,Chemistry,1.1,---,---,2675,881
NaturalMatter,NaturalMatter,0,---,---,2675,2675
NaturalMatter,AtomsElements,1.1,---,---,2675,508
NaturalMatter,NaturalSubstances,1.1,---,---,2675,1796
NaturalMatter,ActionTypes,19,78,2.9%,2675,9514
NaturalMatter,SituationTypes,13,417,15.6%,2675,7049
NaturalMatter,LocationPlace,12,607,22.7%,2675,4396
NaturalMatter,AreaRegion,10,825,30.8%,2675,2079
NaturalMatter,Places,10,864,32.3%,2675,8063
NaturalMatter,SpaceTypes,6,1433,53.6%,2675,33756
NaturalMatter,Forms,11,771,28.8%,2675,9159
NaturalMatter,Shapes,13,422,15.8%,2675,14707
NaturalMatter,NaturalPhenomena,21,32,1.2%,2675,959
NaturalMatter,Information,none,0,0.0%,2675,6050
NaturalMatter,VisualInfo,none,0,0.0%,2675,1085
NaturalMatter,AVInfo,none,0,0.0%,2675,1526
NaturalMatter,WrittenInfo,none,0,0.0%,2675,1909
NaturalMatter,StructuredInfo,none,0,0.0%,2675,2108
NaturalMatter,AudioInfo,none,0,0.0%,2675,453
NaturalMatter,OrganicChemistry,20,48,1.8%,2675,929
NaturalMatter,LivingThings,none,0,0.0%,2675,11013
NaturalMatter,Eukaryotes,none,0,0.0%,2675,9593
NaturalMatter,Plants,none,0,0.0%,2675,2303
NaturalMatter,Animals,none,0,0.0%,2675,7087
NaturalMatter,OrganicMatter,15,220,8.2%,2675,21374
NaturalMatter,Persons,none,0,0.0%,2675,3641
NaturalMatter,Agents,none,0,0.0%,2675,8662
NaturalMatter,Diseases,none,0,0.0%,2675,922
NaturalMatter,Organizations,none,0,0.0%,2675,4848
NaturalMatter,ProtistsFungus,none,0,0.0%,2675,187
NaturalMatter,BiologicalProcesses,21,31,1.2%,2675,295
NaturalMatter,Geopolitical,none,0,0.0%,2675,2049
NaturalMatter,Prokaryotes,none,0,0.0%,2675,273
NaturalMatter,TopicsCategories,14,337,12.6%,2675,1456
NaturalMatter,EconomicSystems,none,1,0.0%,2675,1159
NaturalMatter,EmergentKnowledge,none,0,0.0%,2675,179
NaturalMatter,InquiryMethods,none,0,0.0%,2675,652
NaturalMatter,LearningProcesses,none,0,0.0%,2675,1799
NaturalMatter,SocialSystems,none,1,0.0%,2675,5524
NaturalMatter,Society,none,0,0.0%,2675,4486
NaturalMatter,Artifacts,4,1921,71.8%,2675,30947
NaturalMatter,FoodDrink,25,5,0.2%,2675,2175
NaturalMatter,Facilities,19,67,2.5%,2675,2063
NaturalMatter,Products,4,1906,71.3%,2675,25534
NaturalMatter,PrimarySectorProduct,7,1184,44.3%,2675,3383
NaturalMatter,SecondarySectorProduct,12,543,20.3%,2675,19662
NaturalMatter,TertiarySectorService,none,0,0.0%,2675,3258
NaturalMatter,Drugs,15,219,8.2%,2675,1701
AtomsElements,Times,none,0,0.0%,508,560
AtomsElements,TimeTypes,21,5,1.0%,508,8142
AtomsElements,EventTypes,21,5,1.0%,508,7679
AtomsElements,Chemistry,8,215,42.3%,508,881
AtomsElements,NaturalMatter,1.1,---,---,508,2675
AtomsElements,AtomsElements,0,---,---,508,508
AtomsElements,NaturalSubstances,5,310,61.0%,508,1796
AtomsElements,ActionTypes,none,0,0.0%,508,9514
AtomsElements,SituationTypes,none,0,0.0%,508,7049
AtomsElements,LocationPlace,none,0,0.0%,508,4396
AtomsElements,AreaRegion,none,0,0.0%,508,2079
AtomsElements,Places,none,0,0.0%,508,8063
AtomsElements,SpaceTypes,10,166,32.7%,508,33756
AtomsElements,Forms,17,28,5.5%,508,9159
AtomsElements,Shapes,11,150,29.5%,508,14707
AtomsElements,NaturalPhenomena,22,4,0.8%,508,959
AtomsElements,Information,none,0,0.0%,508,6050
AtomsElements,VisualInfo,none,0,0.0%,508,1085
AtomsElements,AVInfo,none,0,0.0%,508,1526
AtomsElements,WrittenInfo,none,0,0.0%,508,1909
AtomsElements,StructuredInfo,none,0,0.0%,508,2108
AtomsElements,AudioInfo,none,0,0.0%,508,453
AtomsElements,OrganicChemistry,25,1,0.2%,508,929
AtomsElements,LivingThings,none,0,0.0%,508,11013
AtomsElements,Eukaryotes,none,0,0.0%,508,9593
AtomsElements,Plants,none,0,0.0%,508,2303
AtomsElements,Animals,none,0,0.0%,508,7087
AtomsElements,OrganicMatter,25,1,0.2%,508,21374
AtomsElements,Persons,none,0,0.0%,508,3641
AtomsElements,Agents,none,0,0.0%,508,8662
AtomsElements,Diseases,none,0,0.0%,508,922
AtomsElements,Organizations,none,0,0.0%,508,4848
AtomsElements,ProtistsFungus,none,0,0.0%,508,187
AtomsElements,BiologicalProcesses,none,0,0.0%,508,295
AtomsElements,Geopolitical,none,0,0.0%,508,2049
AtomsElements,Prokaryotes,none,0,0.0%,508,273
AtomsElements,TopicsCategories,6,291,57.3%,508,1456
AtomsElements,EconomicSystems,none,0,0.0%,508,1159
AtomsElements,EmergentKnowledge,none,0,0.0%,508,179
AtomsElements,InquiryMethods,none,0,0.0%,508,652
AtomsElements,LearningProcesses,none,0,0.0%,508,1799
AtomsElements,SocialSystems,none,0,0.0%,508,5524
AtomsElements,Society,none,0,0.0%,508,4486
AtomsElements,Artifacts,4,388,76.4%,508,30947
AtomsElements,FoodDrink,none,0,0.0%,508,2175
AtomsElements,Facilities,none,0,0.0%,508,2063
AtomsElements,Products,4,377,74.2%,508,25534
AtomsElements,PrimarySectorProduct,4,377,74.2%,508,3383
AtomsElements,SecondarySectorProduct,6,292,57.5%,508,19662
AtomsElements,TertiarySectorService,none,0,0.0%,508,3258
AtomsElements,Drugs,none,0,0.0%,508,1701
NaturalSubstances,Times,none,0,0.0%,1796,560
NaturalSubstances,TimeTypes,none,0,0.0%,1796,8142
NaturalSubstances,EventTypes,none,0,0.0%,1796,7679
NaturalSubstances,Chemistry,15,169,9.4%,1796,881
NaturalSubstances,NaturalMatter,1.1,---,---,1796,2675
NaturalSubstances,AtomsElements,13,310,17.3%,1796,508
NaturalSubstances,NaturalSubstances,0,---,---,1796,1796
NaturalSubstances,ActionTypes,none,0,0.0%,1796,9514
NaturalSubstances,SituationTypes,12,398,22.2%,1796,7049
NaturalSubstances,LocationPlace,10,607,33.8%,1796,4396
NaturalSubstances,AreaRegion,7,825,45.9%,1796,2079
NaturalSubstances,Places,7,863,48.1%,1796,8063
NaturalSubstances,SpaceTypes,5,1143,63.6%,1796,33756
NaturalSubstances,Forms,8,745,41.5%,1796,9159
NaturalSubstances,Shapes,15,171,9.5%,1796,14707
NaturalSubstances,NaturalPhenomena,none,0,0.0%,1796,959
NaturalSubstances,Information,none,0,0.0%,1796,6050
NaturalSubstances,VisualInfo,none,0,0.0%,1796,1085
NaturalSubstances,AVInfo,none,0,0.0%,1796,1526
NaturalSubstances,WrittenInfo,none,0,0.0%,1796,1909
NaturalSubstances,StructuredInfo,none,0,0.0%,1796,2108
NaturalSubstances,AudioInfo,none,0,0.0%,1796,453
NaturalSubstances,OrganicChemistry,none,0,0.0%,1796,929
NaturalSubstances,LivingThings,none,0,0.0%,1796,11013
NaturalSubstances,Eukaryotes,none,0,0.0%,1796,9593
NaturalSubstances,Plants,none,0,0.0%,1796,2303
NaturalSubstances,Animals,none,0,0.0%,1796,7087
NaturalSubstances,OrganicMatter,19,39,2.2%,1796,21374
NaturalSubstances,Persons,none,0,0.0%,1796,3641
NaturalSubstances,Agents,none,0,0.0%,1796,8662
NaturalSubstances,Diseases,none,0,0.0%,1796,922
NaturalSubstances,Organizations,none,0,0.0%,1796,4848
NaturalSubstances,ProtistsFungus,none,0,0.0%,1796,187
NaturalSubstances,BiologicalProcesses,none,0,0.0%,1796,295
NaturalSubstances,Geopolitical,none,0,0.0%,1796,2049
NaturalSubstances,Prokaryotes,none,0,0.0%,1796,273
NaturalSubstances,TopicsCategories,13,309,17.2%,1796,1456
NaturalSubstances,EconomicSystems,26,1,0.1%,1796,1159
NaturalSubstances,EmergentKnowledge,none,0,0.0%,1796,179
NaturalSubstances,InquiryMethods,none,0,0.0%,1796,652
NaturalSubstances,LearningProcesses,none,0,0.0%,1796,1799
NaturalSubstances,SocialSystems,26,1,0.1%,1796,5524
NaturalSubstances,Society,none,0,0.0%,1796,4486
NaturalSubstances,Artifacts,3,1459,81.2%,1796,30947
NaturalSubstances,FoodDrink,26,1,0.1%,1796,2175
NaturalSubstances,Facilities,18,66,3.7%,1796,2063
NaturalSubstances,Products,3,1459,81.2%,1796,25534
NaturalSubstances,PrimarySectorProduct,7,813,45.3%,1796,3383
NaturalSubstances,SecondarySectorProduct,13,337,18.8%,1796,19662
NaturalSubstances,TertiarySectorService,none,0,0.0%,1796,3258
NaturalSubstances,Drugs,none,0,0.0%,1796,1701
ActionTypes,Times,18,325,3.4%,9514,560
ActionTypes,TimeTypes,6,5657,59.5%,9514,8142
ActionTypes,EventTypes,6,5462,57.4%,9514,7679
ActionTypes,Chemistry,22,78,0.8%,9514,881
ActionTypes,NaturalMatter,22,78,0.8%,9514,2675
ActionTypes,AtomsElements,none,0,0.0%,9514,508
ActionTypes,NaturalSubstances,none,0,0.0%,9514,1796
ActionTypes,ActionTypes,0,---,---,9514,9514
ActionTypes,SituationTypes,11,2663,28.0%,9514,7049
ActionTypes,LocationPlace,24,37,0.4%,9514,4396
ActionTypes,AreaRegion,none,0,0.0%,9514,2079
ActionTypes,Places,21,129,1.4%,9514,8063
ActionTypes,SpaceTypes,9,3378,35.5%,9514,33756
ActionTypes,Forms,15,909,9.6%,9514,9159
ActionTypes,Shapes,17,376,4.0%,9514,14707
ActionTypes,NaturalPhenomena,20,157,1.7%,9514,959
ActionTypes,Information,16,644,6.8%,9514,6050
ActionTypes,VisualInfo,20,160,1.7%,9514,1085
ActionTypes,AVInfo,20,170,1.8%,9514,1526
ActionTypes,WrittenInfo,19,271,2.8%,9514,1909
ActionTypes,StructuredInfo,18,303,3.2%,9514,2108
ActionTypes,AudioInfo,26,14,0.1%,9514,453
ActionTypes,OrganicChemistry,19,200,2.1%,9514,929
ActionTypes,LivingThings,16,654,6.9%,9514,11013
ActionTypes,Eukaryotes,17,550,5.8%,9514,9593
ActionTypes,Plants,26,13,0.1%,9514,2303
ActionTypes,Animals,17,537,5.6%,9514,7087
ActionTypes,OrganicMatter,12,2185,23.0%,9514,21374
ActionTypes,Persons,13,1744,18.3%,9514,3641
ActionTypes,Agents,13,1760,18.5%,9514,8662
ActionTypes,Diseases,21,91,1.0%,9514,922
ActionTypes,Organizations,24,26,0.3%,9514,4848
ActionTypes,ProtistsFungus,none,0,0.0%,9514,187
ActionTypes,BiologicalProcesses,19,200,2.1%,9514,295
ActionTypes,Geopolitical,none,1,0.0%,9514,2049
ActionTypes,Prokaryotes,none,0,0.0%,9514,273
ActionTypes,TopicsCategories,20,168,1.8%,9514,1456
ActionTypes,EconomicSystems,17,560,5.9%,9514,1159
ActionTypes,EmergentKnowledge,22,84,0.9%,9514,179
ActionTypes,InquiryMethods,17,469,4.9%,9514,652
ActionTypes,LearningProcesses,13,1599,16.8%,9514,1799
ActionTypes,SocialSystems,13,1578,16.6%,9514,5524
ActionTypes,Society,14,1122,11.8%,9514,4486
ActionTypes,Artifacts,10,3074,32.3%,9514,30947
ActionTypes,FoodDrink,20,141,1.5%,9514,2175
ActionTypes,Facilities,22,65,0.7%,9514,2063
ActionTypes,Products,12,2047,21.5%,9514,25534
ActionTypes,PrimarySectorProduct,25,20,0.2%,9514,3383
ActionTypes,SecondarySectorProduct,14,977,10.3%,9514,19662
ActionTypes,TertiarySectorService,14,1134,11.9%,9514,3258
ActionTypes,Drugs,none,0,0.0%,9514,1701
SituationTypes,Times,none,0,0.0%,7049,560
SituationTypes,TimeTypes,14,1003,14.2%,7049,8142
SituationTypes,EventTypes,14,1003,14.2%,7049,7679
SituationTypes,Chemistry,24,19,0.3%,7049,881
SituationTypes,NaturalMatter,17,417,5.9%,7049,2675
SituationTypes,AtomsElements,none,0,0.0%,7049,508
SituationTypes,NaturalSubstances,17,398,5.6%,7049,1796
SituationTypes,ActionTypes,9,2663,37.8%,7049,9514
SituationTypes,SituationTypes,0,---,---,7049,7049
SituationTypes,LocationPlace,13,1302,18.5%,7049,4396
SituationTypes,AreaRegion,14,887,12.6%,7049,2079
SituationTypes,Places,8,2851,40.4%,7049,8063
SituationTypes,SpaceTypes,2,6651,94.4%,7049,33756
SituationTypes,Forms,11,2052,29.1%,7049,9159
SituationTypes,Shapes,13,1056,15.0%,7049,14707
SituationTypes,NaturalPhenomena,21,91,1.3%,7049,959
SituationTypes,Information,17,296,4.2%,7049,6050
SituationTypes,VisualInfo,24,19,0.3%,7049,1085
SituationTypes,AVInfo,24,20,0.3%,7049,1526
SituationTypes,WrittenInfo,none,0,0.0%,7049,1909
SituationTypes,StructuredInfo,25,14,0.2%,7049,2108
SituationTypes,AudioInfo,none,1,0.0%,7049,453
SituationTypes,OrganicChemistry,23,42,0.6%,7049,929
SituationTypes,LivingThings,12,1423,20.2%,7049,11013
SituationTypes,Eukaryotes,16,559,7.9%,7049,9593
SituationTypes,Plants,none,1,0.0%,7049,2303
SituationTypes,Animals,16,558,7.9%,7049,7087
SituationTypes,OrganicMatter,9,2760,39.2%,7049,21374
SituationTypes,Persons,12,1744,24.7%,7049,3641
SituationTypes,Agents,11,1801,25.5%,7049,8662
SituationTypes,Diseases,14,872,12.4%,7049,922
SituationTypes,Organizations,22,54,0.8%,7049,4848
SituationTypes,ProtistsFungus,none,0,0.0%,7049,187
SituationTypes,BiologicalProcesses,23,41,0.6%,7049,295
SituationTypes,Geopolitical,25,17,0.2%,7049,2049
SituationTypes,Prokaryotes,none,0,0.0%,7049,273
SituationTypes,TopicsCategories,16,450,6.4%,7049,1456
SituationTypes,EconomicSystems,22,48,0.7%,7049,1159
SituationTypes,EmergentKnowledge,22,61,0.9%,7049,179
SituationTypes,InquiryMethods,16,485,6.9%,7049,652
SituationTypes,LearningProcesses,18,276,3.9%,7049,1799
SituationTypes,SocialSystems,17,281,4.0%,7049,5524
SituationTypes,Society,18,221,3.1%,7049,4486
SituationTypes,Artifacts,8,2830,40.1%,7049,30947
SituationTypes,FoodDrink,none,0,0.0%,7049,2175
SituationTypes,Facilities,12,1671,23.7%,7049,2063
SituationTypes,Products,11,2075,29.4%,7049,25534
SituationTypes,PrimarySectorProduct,21,102,1.4%,7049,3383
SituationTypes,SecondarySectorProduct,13,1401,19.9%,7049,19662
SituationTypes,TertiarySectorService,17,345,4.9%,7049,3258
SituationTypes,Drugs,none,0,0.0%,7049,1701
LocationPlace,Times,none,0,0.0%,4396,560
LocationPlace,TimeTypes,none,0,0.0%,4396,8142
LocationPlace,EventTypes,none,0,0.0%,4396,7679
LocationPlace,Chemistry,none,0,0.0%,4396,881
LocationPlace,NaturalMatter,14,607,13.8%,4396,2675
LocationPlace,AtomsElements,none,0,0.0%,4396,508
LocationPlace,NaturalSubstances,14,607,13.8%,4396,1796
LocationPlace,ActionTypes,22,37,0.8%,4396,9514
LocationPlace,SituationTypes,11,1302,29.6%,4396,7049
LocationPlace,LocationPlace,0,---,---,4396,4396
LocationPlace,AreaRegion,11,1240,28.2%,4396,2079
LocationPlace,Places,1.1,---,---,4396,8063
LocationPlace,SpaceTypes,1.1,---,---,4396,33756
LocationPlace,Forms,9,1706,38.8%,4396,9159
LocationPlace,Shapes,15,360,8.2%,4396,14707
LocationPlace,NaturalPhenomena,none,0,0.0%,4396,959
LocationPlace,Information,none,0,0.0%,4396,6050
LocationPlace,VisualInfo,none,0,0.0%,4396,1085
LocationPlace,AVInfo,none,0,0.0%,4396,1526
LocationPlace,WrittenInfo,none,0,0.0%,4396,1909
LocationPlace,StructuredInfo,none,0,0.0%,4396,2108
LocationPlace,AudioInfo,none,0,0.0%,4396,453
LocationPlace,OrganicChemistry,none,0,0.0%,4396,929
LocationPlace,LivingThings,none,0,0.0%,4396,11013
LocationPlace,Eukaryotes,none,0,0.0%,4396,9593
LocationPlace,Plants,none,0,0.0%,4396,2303
LocationPlace,Animals,none,0,0.0%,4396,7087
LocationPlace,OrganicMatter,7,2077,47.2%,4396,21374
LocationPlace,Persons,none,0,0.0%,4396,3641
LocationPlace,Agents,7,2073,47.2%,4396,8662
LocationPlace,Diseases,none,0,0.0%,4396,922
LocationPlace,Organizations,7,2073,47.2%,4396,4848
LocationPlace,ProtistsFungus,none,0,0.0%,4396,187
LocationPlace,BiologicalProcesses,none,0,0.0%,4396,295
LocationPlace,Geopolitical,1.1,---,---,4396,2049
LocationPlace,Prokaryotes,none,0,0.0%,4396,273
LocationPlace,TopicsCategories,26,3,0.1%,4396,1456
LocationPlace,EconomicSystems,26,3,0.1%,4396,1159
LocationPlace,EmergentKnowledge,none,0,0.0%,4396,179
