count,size_1,kko_1,size_2,kko_2,,,,,,,,,,,,,
656,56207,kko.Symbolic,663,kko.Indexes,,,,,,,,,,,,,
652,56207,kko.Symbolic,652,kko.InquiryMethods,,,,,,,,,,,,,
504,56207,kko.Symbolic,508,kko.AtomsElements,,,,,,,,,,,,,
544,56207,kko.Symbolic,560,kko.Times,,,,,,,,,,,,,
453,56207,kko.Symbolic,453,kko.AudioInfo,,,,,,,,,,,,,
286,56207,kko.Symbolic,295,kko.BiologicalProcesses,,,,,,,,,,,,,
273,56207,kko.Symbolic,273,kko.Prokaryotes,,,,,,,,,,,,,
179,56207,kko.Symbolic,179,kko.EmergentKnowledge,,,,,,,,,,,,,
187,56207,kko.Symbolic,187,kko.ProtistsFungus,,,,,,,,,,,,,
44924,47814,kko.Systems,44924,kko.ConceptualSystems,,,,,,,,,,,,,
44316,47814,kko.Systems,44316,kko.Concepts,,,,,,,,,,,,,
36863,47814,kko.Systems,39933,kko.Constituents,,,,,,,,,,,,,
32487,47814,kko.Systems,33756,kko.SpaceTypes,,,,,,,,,,,,,
26785,47814,kko.Systems,29569,kko.Predications,,,,,,,,,,,,,
25406,47814,kko.Systems,30947,kko.Artifacts,,,,,,,,,,,,,
20021,47814,kko.Systems,25534,kko.Products,,,,,,,,,,,,,
21971,47814,kko.Systems,23957,kko.RelationTypes,,,,,,,,,,,,,
15806,47814,kko.Systems,19662,kko.SecondarySectorProduct,,,,,,,,,,,,,
20353,47814,kko.Systems,21374,kko.OrganicMatter,,,,,,,,,,,,,
15684,47814,kko.Systems,17628,kko.CopulativeRelations,,,,,,,,,,,,,
14505,47814,kko.Systems,14707,kko.Shapes,,,,,,,,,,,,,
14257,47814,kko.Systems,14257,kko.Methodeutic,,,,,,,,,,,,,
13831,47814,kko.Systems,13831,kko.KnowledgeDomains,,,,,,,,,,,,,
10172,47814,kko.Systems,11188,kko.AttributeTypes,,,,,,,,,,,,,
7620,47814,kko.Systems,9514,kko.ActionTypes,,,,,,,,,,,,,
8696,47814,kko.Systems,9159,kko.Forms,,,,,,,,,,,,,
10787,47814,kko.Systems,11013,kko.LivingThings,,,,,,,,,,,,,
6358,47814,kko.Systems,8142,kko.TimeTypes,,,,,,,,,,,,,
5932,47814,kko.Systems,7679,kko.EventTypes,,,,,,,,,,,,,
7698,47814,kko.Systems,7727,kko.MediativeRelations,,,,,,,,,,,,,
6598,47814,kko.Systems,7539,kko.AdjunctualAttributes,,,,,,,,,,,,,
8439,47814,kko.Systems,8662,kko.Agents,,,,,,,,,,,,,
9410,47814,kko.Systems,9593,kko.Eukaryotes,,,,,,,,,,,,,
7593,47814,kko.Systems,8063,kko.Places,,,,,,,,,,,,,
7034,47814,kko.Systems,7049,kko.SituationTypes,,,,,,,,,,,,,
5628,47814,kko.Systems,6050,kko.Information,,,,,,,,,,,,,
6964,47814,kko.Systems,7087,kko.Animals,,,,,,,,,,,,,
5524,47814,kko.Systems,5524,kko.SocialSystems,,,,,,,,,,,,,
4753,47814,kko.Systems,4848,kko.Organizations,,,,,,,,,,,,,
4486,47814,kko.Systems,4486,kko.Society,,,,,,,,,,,,,
3663,47814,kko.Systems,3887,kko.IntrinsicAttributes,,,,,,,,,,,,,
4374,47814,kko.Systems,4396,kko.LocationPlace,,,,,,,,,,,,,
3207,47814,kko.Systems,3345,kko.ContextualAttributes,,,,,,,,,,,,,
2745,47814,kko.Systems,3383,kko.PrimarySectorProduct,,,,,,,,,,,,,
2258,47814,kko.Systems,3258,kko.TertiarySectorService,,,,,,,,,,,,,
3641,47814,kko.Systems,3641,kko.Persons,,,,,,,,,,,,,
2215,47814,kko.Systems,2675,kko.NaturalMatter,,,,,,,,,,,,,
2290,47814,kko.Systems,2300,kko.DirectRelations,,,,,,,,,,,,,
2058,47814,kko.Systems,2063,kko.Facilities,,,,,,,,,,,,,
1876,47814,kko.Systems,2108,kko.StructuredInfo,,,,,,,,,,,,,
1799,47814,kko.Systems,1799,kko.LearningProcesses,,,,,,,,,,,,,
1822,47814,kko.Systems,2175,kko.FoodDrink,,,,,,,,,,,,,
1762,47814,kko.Systems,1909,kko.WrittenInfo,,,,,,,,,,,,,
2259,47814,kko.Systems,2303,kko.Plants,,,,,,,,,,,,,
1666,47814,kko.Systems,2079,kko.AreaRegion,,,,,,,,,,,,,
1493,47814,kko.Systems,1526,kko.AVInfo,,,,,,,,,,,,,
436,47814,kko.Systems,1701,kko.Drugs,,,,,,,,,,,,,
1421,47814,kko.Systems,1500,kko.RepresentationTypes,,,,,,,,,,,,,
2048,47814,kko.Systems,2049,kko.Geopolitical,,,,,,,,,,,,,
1522,47814,kko.Systems,1796,kko.NaturalSubstances,,,,,,,,,,,,,
1456,47814,kko.Systems,1456,kko.TopicsCategories,,,,,,,,,,,,,
1159,47814,kko.Systems,1159,kko.EconomicSystems,,,,,,,,,,,,,
746,47814,kko.Systems,881,kko.Chemistry,,,,,,,,,,,,,
1071,47814,kko.Systems,1085,kko.VisualInfo,,,,,,,,,,,,,
979,47814,kko.Systems,1043,kko.Associatives,,,,,,,,,,,,,
884,47814,kko.Systems,959,kko.NaturalPhenomena,,,,,,,,,,,,,
891,47814,kko.Systems,918,kko.Denotatives,,,,,,,,,,,,,
905,47814,kko.Systems,929,kko.OrganicChemistry,,,,,,,,,,,,,
902,47814,kko.Systems,922,kko.Diseases,,,,,,,,,,,,,
651,47814,kko.Systems,663,kko.Indexes,,,,,,,,,,,,,
652,47814,kko.Systems,652,kko.InquiryMethods,,,,,,,,,,,,,
448,47814,kko.Systems,508,kko.AtomsElements,,,,,,,,,,,,,
544,47814,kko.Systems,560,kko.Times,,,,,,,,,,,,,
436,47814,kko.Systems,453,kko.AudioInfo,,,,,,,,,,,,,
285,47814,kko.Systems,295,kko.BiologicalProcesses,,,,,,,,,,,,,
273,47814,kko.Systems,273,kko.Prokaryotes,,,,,,,,,,,,,
179,47814,kko.Systems,179,kko.EmergentKnowledge,,,,,,,,,,,,,
187,47814,kko.Systems,187,kko.ProtistsFungus,,,,,,,,,,,,,
44316,44924,kko.ConceptualSystems,44316,kko.Concepts,,,,,,,,,,,,,
36378,44924,kko.ConceptualSystems,39933,kko.Constituents,,,,,,,,,,,,,
32398,44924,kko.ConceptualSystems,33756,kko.SpaceTypes,,,,,,,,,,,,,
26015,44924,kko.ConceptualSystems,29569,kko.Predications,,,,,,,,,,,,,
24740,44924,kko.ConceptualSystems,30947,kko.Artifacts,,,,,,,,,,,,,
19355,44924,kko.ConceptualSystems,25534,kko.Products,,,,,,,,,,,,,
21252,44924,kko.ConceptualSystems,23957,kko.RelationTypes,,,,,,,,,,,,,
15769,44924,kko.ConceptualSystems,19662,kko.SecondarySectorProduct,,,,,,,,,,,,,
20319,44924,kko.ConceptualSystems,21374,kko.OrganicMatter,,,,,,,,,,,,,
15030,44924,kko.ConceptualSystems,17628,kko.CopulativeRelations,,,,,,,,,,,,,
14505,44924,kko.ConceptualSystems,14707,kko.Shapes,,,,,,,,,,,,,
