,,,,count,size_1,r1,r2,kko_1,size_2,kko_2,kko_1 %,kko_2 %,,,remaining STs,count,,
5,5,5,5,0,8142,2,48,TimeTypes,3383,PrimarySectorProduct,0.0%,0.0%,,,,,,
5,5,5,5,453,8142,2,49,TimeTypes,19662,SecondarySectorProduct,5.6%,2.3%,,,,,,
5,5,5,5,1066,8142,2,50,TimeTypes,3258,TertiarySectorService,13.1%,32.7%,,,,,,
5,5,5,5,0,8142,2,51,TimeTypes,1701,Drugs,0.0%,0.0%,,,,,,
4,19,9,9,139,7679,3,1,EventTypes,560,Times,1.8%,24.8%,,,,,,
4,19,9,9,124,7679,3,4,EventTypes,881,Chemistry,1.6%,14.1%,,,,,,
4,19,9,9,129,7679,3,5,EventTypes,2675,NaturalMatter,1.7%,4.8%,,,,,,
4,19,9,9,5,7679,3,6,EventTypes,508,AtomsElements,0.1%,1.0%,,,,,,
4,19,9,9,0,7679,3,7,EventTypes,1796,NaturalSubstances,0.0%,0.0%,,,,,,
4,19,9,9,5462,7679,3,8,EventTypes,9514,ActionTypes,71.1%,57.4%,,,,,,
4,19,9,9,1003,7679,3,9,EventTypes,7049,SituationTypes,13.1%,14.2%,,,,,,
4,19,9,9,0,7679,3,10,EventTypes,4396,LocationPlace,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,11,EventTypes,2079,AreaRegion,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,12,EventTypes,8063,Places,0.0%,0.0%,,,,,,
4,19,9,9,2013,7679,3,13,EventTypes,33756,SpaceTypes,26.2%,6.0%,,,,,,
4,19,9,9,164,7679,3,14,EventTypes,9159,Forms,2.1%,1.8%,,,,,,
4,19,9,9,203,7679,3,15,EventTypes,14707,Shapes,2.6%,1.4%,,,,,,
4,19,9,9,864,7679,3,16,EventTypes,959,NaturalPhenomena,11.3%,90.1%,,,,,,
4,19,9,9,1610,7679,3,17,EventTypes,6050,Information,21.0%,26.6%,,,,,,
4,19,9,9,360,7679,3,18,EventTypes,1085,VisualInfo,4.7%,33.2%,,,,,,
4,19,9,9,752,7679,3,19,EventTypes,1526,AVInfo,9.8%,49.3%,,,,,,
4,19,9,9,504,7679,3,20,EventTypes,1909,WrittenInfo,6.6%,26.4%,,,,,,
4,19,9,9,533,7679,3,21,EventTypes,2108,StructuredInfo,6.9%,25.3%,,,,,,
4,19,9,9,399,7679,3,22,EventTypes,453,AudioInfo,5.2%,88.1%,,,,,,
4,19,9,9,293,7679,3,23,EventTypes,929,OrganicChemistry,3.8%,31.5%,,,,,,
4,19,9,9,87,7679,3,24,EventTypes,11013,LivingThings,1.1%,0.8%,,,,,,
4,19,9,9,0,7679,3,25,EventTypes,9593,Eukaryotes,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,26,EventTypes,2303,Plants,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,27,EventTypes,7087,Animals,0.0%,0.0%,,,,,,
4,19,9,9,357,7679,3,28,EventTypes,21374,OrganicMatter,4.6%,1.7%,,,,,,
4,19,9,9,0,7679,3,29,EventTypes,3641,Persons,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,30,EventTypes,8662,Agents,0.0%,0.0%,,,,,,
4,19,9,9,74,7679,3,31,EventTypes,922,Diseases,1.0%,8.0%,,,,,,
4,19,9,9,0,7679,3,32,EventTypes,4848,Organizations,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,33,EventTypes,187,ProtistsFungus,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,35,EventTypes,2049,Geopolitical,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,36,EventTypes,273,Prokaryotes,0.0%,0.0%,,,,,,
4,19,9,9,176,7679,3,37,EventTypes,1456,TopicsCategories,2.3%,12.1%,,,,,,
4,19,9,9,955,7679,3,38,EventTypes,1159,EconomicSystems,12.4%,82.4%,,,,,,
4,19,9,9,109,7679,3,39,EventTypes,179,EmergentKnowledge,1.4%,60.9%,,,,,,
4,19,9,9,1599,7679,3,42,EventTypes,5524,SocialSystems,20.8%,28.9%,,,,,,
4,19,9,9,788,7679,3,43,EventTypes,4486,Society,10.3%,17.6%,,,,,,
4,19,9,9,2892,7679,3,44,EventTypes,30947,Artifacts,37.7%,9.3%,,,,,,
4,19,9,9,0,7679,3,45,EventTypes,2175,FoodDrink,0.0%,0.0%,,,,,,
4,19,9,9,0,7679,3,46,EventTypes,2063,Facilities,0.0%,0.0%,,,,,,
4,19,9,9,1396,7679,3,47,EventTypes,25534,Products,18.2%,5.5%,,,,,,
4,19,9,9,0,7679,3,48,EventTypes,3383,PrimarySectorProduct,0.0%,0.0%,,,,,,
4,19,9,9,437,7679,3,49,EventTypes,19662,SecondarySectorProduct,5.7%,2.2%,,,,,,
4,19,9,9,1064,7679,3,50,EventTypes,3258,TertiarySectorService,13.9%,32.7%,,,,,,
4,19,9,9,0,7679,3,51,EventTypes,1701,Drugs,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,1,Chemistry,560,Times,0.0%,0.0%,,,,,,
1,12,12,12,124,881,4,2,Chemistry,8142,TimeTypes,14.1%,1.5%,,,,,,
1,12,12,12,124,881,4,3,Chemistry,7679,EventTypes,14.1%,1.6%,,,,,,
1,12,12,12,215,881,4,6,Chemistry,508,AtomsElements,24.4%,42.3%,,,,,,
1,12,12,12,169,881,4,7,Chemistry,1796,NaturalSubstances,19.2%,9.4%,,,,,,
1,12,12,12,78,881,4,8,Chemistry,9514,ActionTypes,8.9%,0.8%,,,,,,
1,12,12,12,19,881,4,9,Chemistry,7049,SituationTypes,2.2%,0.3%,,,,,,
1,12,12,12,0,881,4,10,Chemistry,4396,LocationPlace,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,11,Chemistry,2079,AreaRegion,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,12,Chemistry,8063,Places,0.0%,0.0%,,,,,,
1,12,12,12,187,881,4,13,Chemistry,33756,SpaceTypes,21.2%,0.6%,,,,,,
1,12,12,12,29,881,4,14,Chemistry,9159,Forms,3.3%,0.3%,,,,,,
1,12,12,12,144,881,4,15,Chemistry,14707,Shapes,16.3%,1.0%,,,,,,
1,12,12,12,28,881,4,16,Chemistry,959,NaturalPhenomena,3.2%,2.9%,,,,,,
1,12,12,12,0,881,4,17,Chemistry,6050,Information,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,18,Chemistry,1085,VisualInfo,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,19,Chemistry,1526,AVInfo,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,20,Chemistry,1909,WrittenInfo,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,21,Chemistry,2108,StructuredInfo,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,22,Chemistry,453,AudioInfo,0.0%,0.0%,,,,,,
1,12,12,12,47,881,4,23,Chemistry,929,OrganicChemistry,5.3%,5.1%,,,,,,
1,12,12,12,0,881,4,24,Chemistry,11013,LivingThings,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,25,Chemistry,9593,Eukaryotes,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,26,Chemistry,2303,Plants,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,27,Chemistry,7087,Animals,0.0%,0.0%,,,,,,
1,12,12,12,181,881,4,28,Chemistry,21374,OrganicMatter,20.5%,0.8%,,,,,,
1,12,12,12,0,881,4,29,Chemistry,3641,Persons,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,30,Chemistry,8662,Agents,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,31,Chemistry,922,Diseases,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,32,Chemistry,4848,Organizations,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,33,Chemistry,187,ProtistsFungus,0.0%,0.0%,,,,,,
1,12,12,12,31,881,4,34,Chemistry,295,BiologicalProcesses,3.5%,10.5%,,,,,,
1,12,12,12,0,881,4,35,Chemistry,2049,Geopolitical,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,36,Chemistry,273,Prokaryotes,0.0%,0.0%,,,,,,
1,12,12,12,177,881,4,37,Chemistry,1456,TopicsCategories,20.1%,12.2%,,,,,,
1,12,12,12,0,881,4,38,Chemistry,1159,EconomicSystems,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,39,Chemistry,179,EmergentKnowledge,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,40,Chemistry,652,InquiryMethods,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,41,Chemistry,1799,LearningProcesses,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,42,Chemistry,5524,SocialSystems,0.0%,0.0%,,,,,,
1,12,12,12,0,881,4,43,Chemistry,4486,Society,0.0%,0.0%,,,,,,
1,12,12,12,583,881,4,44,Chemistry,30947,Artifacts,66.2%,1.9%,,,,,,
1,12,12,12,4,881,4,45,Chemistry,2175,FoodDrink,0.5%,0.2%,,,,,,
1,12,12,12,0,881,4,46,Chemistry,2063,Facilities,0.0%,0.0%,,,,,,
1,12,12,12,582,881,4,47,Chemistry,25534,Products,66.1%,2.3%,,,,,,
1,12,12,12,510,881,4,48,Chemistry,3383,PrimarySectorProduct,57.9%,15.1%,,,,,,
1,12,12,12,353,881,4,49,Chemistry,19662,SecondarySectorProduct,40.1%,1.8%,,,,,,
1,12,12,12,0,881,4,50,Chemistry,3258,TertiarySectorService,0.0%,0.0%,,,,,,
1,12,12,12,219,881,4,51,Chemistry,1701,Drugs,24.9%,12.9%,,,,,,
1,1,1,1,0,2675,5,1,NaturalMatter,560,Times,0.0%,0.0%,,,,,,
1,1,1,1,129,2675,5,2,NaturalMatter,8142,TimeTypes,4.8%,1.6%,,,,,,
1,1,1,1,129,2675,5,3,NaturalMatter,7679,EventTypes,4.8%,1.7%,,,,,,
1,1,1,1,78,2675,5,8,NaturalMatter,9514,ActionTypes,2.9%,0.8%,,,,,,
1,1,1,1,417,2675,5,9,NaturalMatter,7049,SituationTypes,15.6%,5.9%,,,,,,
1,1,1,1,607,2675,5,10,NaturalMatter,4396,LocationPlace,22.7%,13.8%,,,,,,
1,1,1,1,825,2675,5,11,NaturalMatter,2079,AreaRegion,30.8%,39.7%,,,,,,
1,1,1,1,864,2675,5,12,NaturalMatter,8063,Places,32.3%,10.7%,,,,,,
1,1,1,1,1433,2675,5,13,NaturalMatter,33756,SpaceTypes,53.6%,4.2%,,,,,,
1,1,1,1,771,2675,5,14,NaturalMatter,9159,Forms,28.8%,8.4%,,,,,,
1,1,1,1,422,2675,5,15,NaturalMatter,14707,Shapes,15.8%,2.9%,,,,,,
1,1,1,1,32,2675,5,16,NaturalMatter,959,NaturalPhenomena,1.2%,3.3%,,,,,,
1,1,1,1,0,2675,5,17,NaturalMatter,6050,Information,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,18,NaturalMatter,1085,VisualInfo,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,19,NaturalMatter,1526,AVInfo,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,20,NaturalMatter,1909,WrittenInfo,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,21,NaturalMatter,2108,StructuredInfo,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,22,NaturalMatter,453,AudioInfo,0.0%,0.0%,,,,,,
1,1,1,1,48,2675,5,23,NaturalMatter,929,OrganicChemistry,1.8%,5.2%,,,,,,
1,1,1,1,0,2675,5,24,NaturalMatter,11013,LivingThings,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,25,NaturalMatter,9593,Eukaryotes,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,26,NaturalMatter,2303,Plants,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,27,NaturalMatter,7087,Animals,0.0%,0.0%,,,,,,
1,1,1,1,220,2675,5,28,NaturalMatter,21374,OrganicMatter,8.2%,1.0%,,,,,,
1,1,1,1,0,2675,5,29,NaturalMatter,3641,Persons,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,30,NaturalMatter,8662,Agents,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,31,NaturalMatter,922,Diseases,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,32,NaturalMatter,4848,Organizations,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,33,NaturalMatter,187,ProtistsFungus,0.0%,0.0%,,,,,,
1,1,1,1,31,2675,5,34,NaturalMatter,295,BiologicalProcesses,1.2%,10.5%,,,,,,
1,1,1,1,0,2675,5,35,NaturalMatter,2049,Geopolitical,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,36,NaturalMatter,273,Prokaryotes,0.0%,0.0%,,,,,,
1,1,1,1,337,2675,5,37,NaturalMatter,1456,TopicsCategories,12.6%,23.1%,,,,,,
1,1,1,1,1,2675,5,38,NaturalMatter,1159,EconomicSystems,0.0%,0.1%,,,,,,
1,1,1,1,0,2675,5,39,NaturalMatter,179,EmergentKnowledge,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,40,NaturalMatter,652,InquiryMethods,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,41,NaturalMatter,1799,LearningProcesses,0.0%,0.0%,,,,,,
1,1,1,1,1,2675,5,42,NaturalMatter,5524,SocialSystems,0.0%,0.0%,,,,,,
1,1,1,1,0,2675,5,43,NaturalMatter,4486,Society,0.0%,0.0%,,,,,,
1,1,1,1,1921,2675,5,44,NaturalMatter,30947,Artifacts,71.8%,6.2%,,,,,,
1,1,1,1,5,2675,5,45,NaturalMatter,2175,FoodDrink,0.2%,0.2%,,,,,,
1,1,1,1,67,2675,5,46,NaturalMatter,2063,Facilities,2.5%,3.2%,,,,,,
1,1,1,1,1906,2675,5,47,NaturalMatter,25534,Products,71.3%,7.5%,,,,,,
1,1,1,1,1184,2675,5,48,NaturalMatter,3383,PrimarySectorProduct,44.3%,35.0%,,,,,,
1,1,1,1,543,2675,5,49,NaturalMatter,19662,SecondarySectorProduct,20.3%,2.8%,,,,,,
1,1,1,1,0,2675,5,50,NaturalMatter,3258,TertiarySectorService,0.0%,0.0%,,,,,,
1,1,1,1,219,2675,5,51,NaturalMatter,1701,Drugs,8.2%,12.9%,,,,,,
1,11,11,11,0,508,6,1,AtomsElements,560,Times,0.0%,0.0%,,,,,,
1,11,11,11,5,508,6,2,AtomsElements,8142,TimeTypes,1.0%,0.1%,,,,,,
1,11,11,11,5,508,6,3,AtomsElements,7679,EventTypes,1.0%,0.1%,,,,,,
1,11,11,11,215,508,6,4,AtomsElements,881,Chemistry,42.3%,24.4%,,,,,,
1,11,11,11,310,508,6,7,AtomsElements,1796,NaturalSubstances,61.0%,17.3%,,,,,,
1,11,11,11,0,508,6,8,AtomsElements,9514,ActionTypes,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,9,AtomsElements,7049,SituationTypes,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,10,AtomsElements,4396,LocationPlace,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,11,AtomsElements,2079,AreaRegion,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,12,AtomsElements,8063,Places,0.0%,0.0%,,,,,,
1,11,11,11,166,508,6,13,AtomsElements,33756,SpaceTypes,32.7%,0.5%,,,,,,
1,11,11,11,28,508,6,14,AtomsElements,9159,Forms,5.5%,0.3%,,,,,,
1,11,11,11,150,508,6,15,AtomsElements,14707,Shapes,29.5%,1.0%,,,,,,
1,11,11,11,4,508,6,16,AtomsElements,959,NaturalPhenomena,0.8%,0.4%,,,,,,
1,11,11,11,0,508,6,17,AtomsElements,6050,Information,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,18,AtomsElements,1085,VisualInfo,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,19,AtomsElements,1526,AVInfo,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,20,AtomsElements,1909,WrittenInfo,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,21,AtomsElements,2108,StructuredInfo,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,22,AtomsElements,453,AudioInfo,0.0%,0.0%,,,,,,
1,11,11,11,1,508,6,23,AtomsElements,929,OrganicChemistry,0.2%,0.1%,,,,,,
1,11,11,11,0,508,6,24,AtomsElements,11013,LivingThings,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,25,AtomsElements,9593,Eukaryotes,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,26,AtomsElements,2303,Plants,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,27,AtomsElements,7087,Animals,0.0%,0.0%,,,,,,
1,11,11,11,1,508,6,28,AtomsElements,21374,OrganicMatter,0.2%,0.0%,,,,,,
1,11,11,11,0,508,6,29,AtomsElements,3641,Persons,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,30,AtomsElements,8662,Agents,0.0%,0.0%,,,,,,
1,11,11,11,0,508,6,31,AtomsElements,922,Diseases,0.0%,0.0%,,,,,,
