count,kko_1,kko_2,intersect RCs,,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.AtomsElements,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.AtomsElements,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.AtomsElements,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.AtomsElements,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AtomsElements,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.AtomsElements,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.AttributeTypes,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AttributeTypes,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.AudioInfo,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.AudioInfo,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AudioInfo,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.AudioInfo,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.AVInfo,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.BiologicalProcesses,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.BiologicalProcesses,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.BiologicalProcesses,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Chemistry,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.FoodDrink,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.Plants,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.ContextualAttributes,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.CopulativeRelations,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.CopulativeRelations,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.CopulativeRelations,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Denotatives,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.DirectRelations,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Diseases,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Diseases,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Diseases,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Diseases,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Diseases,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Diseases,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.RepresentationTypes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Associatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Drugs,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.EconomicSystems,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.EmergentKnowledge,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Places,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Information,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.SocialSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Society,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.LocationPlace,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.TertiarySectorService,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.NaturalMatter,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Facilities,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.StructuredInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.LearningProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.WrittenInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.AreaRegion,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.AVInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.RepresentationTypes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Associatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Eukaryotes,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Agents,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Eukaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Places,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Animals,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Organizations,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.LocationPlace,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.PrimarySectorProduct,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Persons,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Facilities,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.FoodDrink,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Plants,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.AreaRegion,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.EventTypes,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.StructuredInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.LearningProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.FoodDrink,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.WrittenInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Plants,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Facilities,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.WrittenInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.AreaRegion,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.AVInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.RepresentationTypes,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Associatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.FoodDrink,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Forms,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Forms,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Forms,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Forms,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Forms,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.TopicsCategories,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Associatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.Geopolitical,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
